Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After
Australia,49.953,49.41004299,49.70683745,49.79575526,49.52896022,49.22740149,48.8536379,49.11819887,49.14079482,49.48528521,49.76173457,49.72265625,2017
Belgium,42.477,42.07197991,42.01107011,41.95073175,41.84723727,41.47064105,41.48108398,41.63032838,41.87074529,42.29210712,42.70440803,42.81604185,2017
Canada,51.218,49.82579435,49.97202509,50.21281558,50.27523993,50.38889997,50.15075943,50.13406323,49.94890209,50.25233925,50.1024314,50.05206247,2017
China,58.016,58.08167853,58.45880782,58.32114892,58.26563469,58.27797049,58.26058984,58.26410208,58.35930889,58.04414134,58.04414134,58.04414134,
Denmark,52.374,50.31754672,48.85275519,48.69627765,48.0738219,48.00999465,48.24951128,48.71024735,49.79849308,49.05200905,49.09373382,49.06630118,2017
Finland,47.755,46.13218175,45.72977014,46.02790698,45.97296797,45.27363184,44.89084572,44.53581871,44.61454347,44.93912411,45.52860246,45.87768356,2017
France,39.659,39.21173118,39.03608699,39.08514349,38.98478919,38.81126566,38.83144874,38.82987823,38.91539391,39.11822348,39.18553565,39.19047037,2017
Germany,46.602,46.58002311,47.02746466,48.14390353,48.54091288,48.859846,49.10166331,49.06288638,49.85852894,50.20687152,50.50129249,50.65055762,2017
Hong Kong SAR,50.388,49.58547742,49.31934203,50.32348805,50.92734626,51.629455,51.53729491,51.62790698,51.28100854,51.51147099,51.59951814,51.39405204,2017
Ireland,48.694,44.31493292,42.14098074,41.17775354,40.82519001,41.82681926,42.6183844,43.65719134,44.6866485,45.47150259,45.9470552,46.28199919,2017
Italy,39.115,38.18230752,37.72924448,37.69348812,37.50498604,36.67327714,36.65334057,36.95144417,37.51359905,37.99864662,38.32707881,38.61705631,2017
Japan,50.197,49.51195992,49.3628227,49.23140709,49.22854992,49.68232901,50.11642542,50.41266991,50.9199748,51.52430846,52.42147891,52.83351184,2017
Korea,48.466,48.04088586,48.49860758,49.11588602,49.71115538,50.16756232,51.03158807,51.31431932,51.53377825,51.93959653,52.04691946,52.09353433,2017
Netherlands,50.821,50.58076225,49.82244959,49.60162943,49.71650254,49.19661985,48.70441743,48.96971128,49.34233705,50.05250875,50.69226294,50.85266821,2017
Singapore,59.744,59.28227747,60.35060075,61.30401235,62.19879518,63.67845897,65.26508227,65.67299006,65.48956661,65.27084818,65.46546547,65.60420315,2017
Sweden,49.622,48.16400814,48.04587935,48.782031,48.73377982,48.7817522,48.95865394,49.10161405,49.12456228,49.62450593,48.88802564,48.58708189,2017
Switzerland,58.58,58.0238899,57.52632931,58.36086404,58.74292898,58.87548203,59.23832924,59.41976208,59.62531524,59.46555819,60.0660066,60.07453995,2017
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,
United Kingdom,47.925,46.82867284,46.57265774,46.4185826,46.61643513,46.86768789,47.61057015,48.04791891,48.32896661,48.54179285,48.76779105,48.74560551,2017
United States of America,47.707,45.51263282,44.89990282,44.8345048,45.3337788,45.47841417,45.88854425,46.33682415,46.80256635,47.05234346,47.4499872,47.54017433,2017
