Country,Scale,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Estimates Start After
Australia,Dollars,63667.07,63707.354,64314.9016777918,63747.663,66384.944,66749.592,67505.8375634518,68187.034,68821.761,69249.283,70326.662,71091.09375,2017
Belgium,Dollars,36460.767,35354.134,36032.7490774908,34281.088,35983.568,35855.001,36179.054,36512.503,36785.872,37287.086,37657.699,38040.5405405405,2017
Canada,Dollars,47871.111,45930.616,46819.871,44068.78,48088.423,48714.237,49557.528,49610.407,49754.675,50638.705,51070.273,51618.262,2017
China,Dollars,29833.696781675,32420.2038216561,35687.3078730116,35230.9545655545,41755.8646716493,44791.8469633723,47812.1763097484,50858.3783154617,53958.3983626357,57352.0250633057,60832.089,64293.825,2017
Denmark,Dollars,341380.569758948,322573.035746688,327172.538392051,304801.657177816,329564.594158753,331340.353382117,335258.574728985,338657.243816254,342474.154547047,347712.645677509,351835.836,355969.505,2017
Finland,Dollars,37366.0377358491,34108.9,34965.4270229864,31135.6812703207,35025.551,34593.33,34223.445,34138.158,34888.281,35759.949,36566.799,37083.89,2017
France,Dollars,33567.957,32430.682,32905.393,31331.938,33406.999,33429.684,33594.6773286687,33798.775,34035.4409987918,34699.65,35081.539,35488.745,2017
Germany,Dollars,32404.4128572136,30709.4665954301,31997.5088746341,29103.176247364,33358.2006042747,33469.1929024018,34055.7894866824,34262.7345844504,34720.275898918,35439.1483184128,36061.556,36702.397,2017
Hong Kong SAR,Dollars,290712.522,282266.724,298976.461,274066.294,313410.821,321338.788,328303.323,333521.614227086,337640.775,348881.24,359096.774,366616.304,2017
Ireland,Dollars,41545.173,39176.38,39729.203,36942.649,40938.328,41253.077,44515.963,55093.3389902418,57110.04,60539.896,62769.341,64634.498,2017
Italy,Dollars,28278.975,26542.129,26873.147,24911.956,26064.918,25469.7074863659,25384.137,25620.304,25895.5592918604,26317.995,26553.7560076371,26833.22,2017
Japan,Dollars,0,0,0,0,0,0,0,0,0,0,0,0,2017
Korea,Dollars,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Dollars,41404.414,39683.2425892317,40009.69,38033.6194441506,39874.724,39707.986,40127.779,40739.682,41405.2260716383,42319.7782963827,43382.0244328098,44380.1044083527,2017
Singapore,Dollars,58158.091,56080.393,63494.386,54076.921,67174.699,69470.2722726431,71231.6270566728,71972.719,72751.561,75316.999,76850.026,78132.2241681261,2017
Sweden,Dollars,422696.413,397087.035649288,417527.931,373029.221398847,421172.457,422453.499,428909.408022981,443294.081819105,448633.917,452460.375494071,455420.219,460792.099,2017
Switzerland,Dollars,79623.996,76748.247,78096.969,73976.361,78626.776,79268.441,80230.343980344,80278.83,80681.398,81119.2399049881,82931.4002828854,83438.97,2017
Turkey,Dollars,14661.116,13770.373,14703.647,12933.747,16689.2776389385,17860.568,18534.841,19401.9,19750.235,20958.36,21407.368,21223.698,2017
United Kingdom,Dollars,28983.906,27558.295,27807.0108349267,26202.804,28248.034,28645.759,29265.957,29717.4473967133,30001.28,30317.08,30532.227,30812.267,2017
United States of America,Dollars,51210.217,49479.868,50359.3231939409,47807.986,51536.846124475,52117.43,53001.932,54126.326,54575.7976586355,55389.6147732643,56599.837,57674.4017008595,2017
